Meeting,Segment,Word_Count,Excerpt,Compound,Positive_Pct,Negative_Pct,Neutral_Pct,Valence,Intensity,Polarity,Subjectivity,Dom_Emotion,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
M1: Beginning,22,73,"Super appreciate it. So we have, I'm going to pass around a list of just potential topics and we're going...",0.5346,0.072,0.0,0.928,Positive,Moderate,0.2333,0.6417,Joy,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0
M1: Beginning,23,260,"So the first thing on there is just like logistics, meeting time, duration, what format we think would be best...",0.9905,0.192,0.036,0.772,Positive,Strong,0.213,0.4581,Trust,0.1667,0.2333,0.1333,0.0667,0.1333,0.0333,0.1,0.1333
M1: Beginning,24,97,"I have a suggestion of what we could talk about. Different kinds of love. Growing up, I always had a...",0.9392,0.231,0.048,0.721,Positive,Strong,0.1608,0.4242,Joy,0.4167,0.3333,0.0,0.0,0.0,0.0,0.0,0.25
M1: Beginning,25,18,You act very similar in some ways and very different in other ways around those platonic versus romantic.,0.4019,0.137,0.0,0.863,Positive,Moderate,-0.0312,0.5437,Joy,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
M1: Beginning,26,51,"And feel free if the sun is beating down, I need to move seats. We can also broaden the circle...",0.5964,0.139,0.072,0.789,Positive,Moderate,0.0815,0.3886,Joy,0.2222,0.2222,0.1111,0.1111,0.1111,0.0,0.1111,0.1111
M1: Beginning,27,24,"How to keep those relationships? You know, you can make friends, but how to keep the relationship over time? You...",0.3421,0.095,0.0,0.905,Positive,Moderate,0.0,0.0,Joy,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333
M1: Beginning,28,33,"What about what do you think of like would be most critical, I guess out of all of these. If...",0.25,0.124,0.07,0.807,Positive,Mild,0.35,0.7,Trust,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
M1: Beginning,29,21,"Probably communication in my book, because I've always found it difficult to communicate with those people that I like that...",0.0,0.104,0.104,0.792,Neutral,Neutral,-0.15,0.6,Trust,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0
M1: Beginning,30,46,"I would also say the unmasking. I think just because I'm so recent to this, I guess I didn't realize...",0.8,0.16,0.0,0.84,Positive,Strong,0.21,0.495,Trust,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25
M1: Beginning,31,49,I feel like navigating complex relationships has been really prominent in my last few years of business. Just because there's...,0.0891,0.099,0.055,0.845,Positive,Mild,-0.0208,0.4236,Fear,0.0,0.0,0.3333,0.0,0.3333,0.0,0.3333,0.0
M1: Beginning,32,43,"Adding to what you said, also the neurotypical social norms is important to talk because most of the times it's...",0.5859,0.171,0.053,0.776,Positive,Moderate,0.3056,0.6111,Trust,0.0,0.2857,0.1429,0.0,0.1429,0.0,0.1429,0.2857
M1: Beginning,33,59,I find a lot of stuff kind of goes over my head when it gets into that whole area of...,0.7402,0.131,0.0,0.869,Positive,Strong,0.35,0.55,Joy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,34,18,"Like I like you. I want to be friends or I want to be more than friends, depending.",0.9017,0.54,0.0,0.46,Positive,Strong,0.5,0.5,Joy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,35,31,"Yeah. Because I've realized over time that, you know, some people were interested, but it kind of went over my...",0.3506,0.106,0.0,0.894,Positive,Moderate,0.425,0.7,Joy,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2
M1: Beginning,36,29,"Reading signs of social norms. I feel like a lot of people learn how to like, show even attractive through...",0.8979,0.35,0.0,0.65,Positive,Strong,0.4167,0.5333,Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,37,21,"You were talking about direct, honest communication versus like hint hints or cues or saying one thing, but meaning another....",0.4404,0.17,0.0,0.83,Positive,Moderate,0.35,0.65,Trust,0.1111,0.2222,0.1111,0.0,0.1111,0.1111,0.2222,0.1111
M1: Beginning,38,40,And. There are so many hidden like social cues that one can infer for those who are considered neurotypical. It...,0.61,0.116,0.0,0.884,Positive,Strong,0.0917,0.225,Anticipation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M1: Beginning,39,130,"Yeah, I'm kind of curious too. I'm just backing up when we say relationships. And so even that word means...",0.9818,0.247,0.0,0.753,Positive,Strong,0.2727,0.5909,Joy,0.3846,0.3846,0.0,0.0769,0.0769,0.0,0.0,0.0769
M1: Beginning,40,34,"I mean, if we're talking about relationships that mean the most to us, by that, do you mean relationships that...",0.7841,0.229,0.0,0.771,Positive,Strong,0.0851,0.5851,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,41,60,"Is most important to you. And that might, might differ from person to person. It could be somebody you've known...",0.8976,0.16,0.0,0.84,Positive,Strong,0.3403,0.6973,Anticipation,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.5
M1: Beginning,42,82,"I mean, for me, I would say like my closest friend from when I was little that I did horseback...",0.9336,0.19,0.018,0.792,Positive,Strong,0.1075,0.6659,Trust,0.3333,0.4444,0.0,0.0,0.0,0.1111,0.0,0.1111
M1: Beginning,43,119,"I think I have one relationship, like a friendship like that. So when I met in college who went through...",0.9642,0.195,0.026,0.779,Positive,Strong,0.2919,0.6679,Trust,0.4444,0.5556,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,44,102,"My I think that the most important relationship in my life right now is my boyfriend, who is also my...",0.9756,0.214,0.013,0.772,Positive,Strong,0.2771,0.6086,Joy,0.3636,0.3636,0.0909,0.0909,0.0909,0.0,0.0,0.0
M1: Beginning,45,47,"And I guess kind of building off of like that of like what we already have, like what relationships we...",0.8858,0.246,0.0,0.754,Positive,Strong,0.3333,0.6333,Trust,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0
M1: Beginning,46,168,"I suppose. Well, I never had a boyfriend or girlfriend, so and again, I'm curious about it now. I for...",0.9475,0.122,0.033,0.846,Positive,Strong,0.1155,0.5445,Trust,0.0833,0.3333,0.0,0.0,0.25,0.1667,0.0,0.1667
M1: Beginning,47,63,I think you touched on a lot of good points. One of the points that I was thinking of is...,0.34,0.053,0.0,0.947,Positive,Moderate,0.2687,0.3688,Trust,0.1818,0.4545,0.0,0.1818,0.0,0.0,0.0,0.1818
M1: Beginning,48,71,"Exactly. So like being able to. Communicate that and like hope that that person doesn't take it personally. You know,...",0.6764,0.175,0.098,0.726,Positive,Strong,-0.0319,0.5028,Fear,0.08,0.12,0.16,0.12,0.12,0.12,0.12,0.16
M1: Beginning,49,20,I feel like learning how to like advocate for yourself in relationships is just like a lifelong learning process too.,0.7579,0.306,0.0,0.694,Positive,Strong,-0.1,0.6,Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,50,126,"I think I kind of want to add on like with that, I think I've been masking my entire life....",0.955,0.179,0.046,0.775,Positive,Strong,0.0629,0.5439,Trust,0.2222,0.4444,0.1111,0.1111,0.0,0.0,0.0,0.1111
M1: Beginning,51,18,Is there a difference between high functioning or and high masking? Is there a difference in the terms?,0.0,0.0,0.0,1.0,Neutral,Neutral,0.16,0.54,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,52,80,"I would say that high functioning is a general label that includes just being able to sort of like, I...",0.0743,0.121,0.096,0.782,Positive,Mild,0.092,0.623,Trust,0.1429,0.5714,0.0,0.1429,0.0,0.0,0.0,0.1429
M1: Beginning,53,73,"I think that's yeah, that sounds accurate to me. And yeah, high functioning I think is, is an oversimplification, but...",0.964,0.265,0.0,0.735,Positive,Strong,-0.0057,0.3926,Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,54,32,I think that's such an important topic because sometimes we do it consciously and sometimes we're doing it unconsciously. And...,0.5106,0.125,0.0,0.875,Positive,Moderate,0.1667,0.6667,Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,55,21,"Yeah. Hearing that kind of like social battery, social energy being kind of a kind of a core consideration from...",0.6712,0.266,0.0,0.734,Positive,Strong,0.3733,0.5667,Joy,0.4286,0.4286,0.0,0.0,0.0,0.0,0.1429,0.0
M1: Beginning,56,58,I know I have to watch how much I socialize because I don't tune things out like a normal person...,0.8211,0.165,0.036,0.799,Positive,Strong,0.2333,0.6139,Joy,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.25
M1: Beginning,57,101,"On how fast people are speaking. If I find that if it's harder to insert yourself into a conversation, or...",0.7533,0.098,0.019,0.883,Positive,Strong,0.0593,0.288,Joy,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333
M1: Beginning,58,74,And then I would add on to that is knowing when to speak. Sometimes because they flow so easily between...,0.6924,0.105,0.047,0.849,Positive,Strong,0.2633,0.65,Anticipation,0.1818,0.1818,0.0,0.1818,0.0,0.0,0.0909,0.3636
M1: Beginning,59,101,"I remember a lot of moments that I wanted to say something to someone, but I was kind of preparing...",0.8422,0.103,0.0,0.897,Positive,Strong,0.0987,0.5483,Joy,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0
M1: Beginning,60,28,"Because you don't understand if they're, if you said something that made them upset or if it's just. Yeah, just...",0.2732,0.146,0.08,0.774,Positive,Mild,0.1,0.4,Sadness,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
M1: Beginning,61,116,Yes. I think I saw a video on that a couple days ago on like how autistics interact with Neurotypicals....,0.84,0.141,0.057,0.803,Positive,Strong,0.1759,0.5946,Joy,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
M1: Beginning,62,21,Yeah. Like discourages me from trying again. I was like kind of getting too shy for the rest of the...,0.3182,0.256,0.174,0.569,Positive,Moderate,0.05,0.7,Joy,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333
M1: Beginning,63,29,"I think going along the topic of conversations, how do you know if somebody is Present in the conversation or...",0.7096,0.179,0.0,0.821,Positive,Strong,0.0,0.25,Joy,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2
M1: Beginning,64,164,"I think that if the person is making questions or nodding, I'm like, oh really? And what about that? Or...",0.9718,0.162,0.046,0.791,Positive,Strong,0.0489,0.4872,Sadness,0.0,0.0714,0.1429,0.0714,0.2857,0.2857,0.0714,0.0714
M1: Beginning,65,41,"I feel like in relationships where I'm not that close with them, I kind of assume like the normal neurotypical,...",0.8047,0.222,0.0,0.778,Positive,Strong,0.2833,0.6167,Joy,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0
M1: Beginning,66,90,"Toolbox with my friends that are neurodivergent, where I'm like, I know that they stim and I know I'm stimming....",0.9442,0.179,0.0,0.821,Positive,Strong,0.2292,0.5792,Trust,0.3333,0.5,0.0,0.1667,0.0,0.0,0.0,0.0
M1: Beginning,67,121,"It relates a lot about the limits and boundaries you develop with the relationships along the way. Because for example,...",0.5785,0.049,0.019,0.932,Positive,Moderate,0.1533,0.28,Anticipation,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667
M1: Beginning,68,72,"Will be like, I'm listening, but I don't want to like talk or respond. And so she'll just be talking...",0.9375,0.257,0.074,0.668,Positive,Strong,0.0,0.0,Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,69,63,"So I think I understand what you're talking about. You just want to hear, hear it, but you don't really...",0.7148,0.15,0.065,0.784,Positive,Strong,0.0771,0.3354,Anticipation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M1: Beginning,70,25,"Yeah. That's such a good like communication between you and your partner at the same time, even if it's just...",0.8687,0.339,0.0,0.661,Positive,Strong,0.35,0.4563,Trust,0.2,0.3,0.0,0.2,0.0,0.0,0.0,0.3
M1: Beginning,71,157,"It's a different relationship, but I know communicating with my son and he has ADHD and there's I mean, there's...",0.9806,0.179,0.024,0.797,Positive,Strong,0.1402,0.558,Trust,0.2308,0.5385,0.0,0.0,0.0769,0.0769,0.0769,0.0
M1: Beginning,72,30,I like the word toolbox too for like a mutual agreement. Yeah. And I feel like that toolbox could look...,0.9538,0.456,0.0,0.544,Positive,Strong,0.1667,0.6,Trust,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,73,40,"Yeah. It's nice because sometimes she'll be like, oh, can I talk? And I'm like, okay, but I don't want...",0.9585,0.416,0.025,0.559,Positive,Strong,0.5133,0.6,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,74,62,"I kind of do the same thing sometimes, like with my partner, but also like, I don't know if anybody...",0.9649,0.292,0.044,0.664,Positive,Strong,0.3,0.4083,Joy,0.2308,0.1538,0.0769,0.0769,0.0769,0.1538,0.1538,0.0769
M1: Beginning,75,37,"I'm I don't have discord myself. So is my question is, is do people communicate very frequently through discord? Is,...",0.6547,0.188,0.067,0.745,Positive,Strong,0.13,0.39,Trust,0.1429,0.2857,0.0,0.0,0.0,0.2857,0.2857,0.0
M1: Beginning,76,28,But you can create your own servers. You can have different channels depending on what you want to do. You...,0.4767,0.136,0.0,0.864,Positive,Moderate,0.3,0.8,Joy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,77,68,"It's like a group chat, but you make it more fun because you can personalize the things you want to....",0.9199,0.207,0.032,0.761,Positive,Strong,0.0042,0.4125,Joy,0.3333,0.0,0.1667,0.0,0.1667,0.0,0.0,0.3333
M1: Beginning,78,52,I've used discord for gaming. I actually used it when I worked at a summer camp for like young teenagers...,0.3102,0.128,0.09,0.783,Positive,Moderate,0.05,0.25,Disgust,0.1111,0.0,0.1111,0.1111,0.0,0.2222,0.2222,0.2222
M1: Beginning,79,49,"It's definitely more fun, like during Covid. Me and my friends, when we would play among us, like we would...",0.9436,0.403,0.03,0.567,Positive,Strong,0.35,0.5667,Joy,0.3333,0.1667,0.0,0.0,0.0,0.1667,0.1667,0.1667
M1: Beginning,80,49,"So this is kind of a brief pivot, but I realized I've been taking notes and I didn't ask like...",0.1864,0.083,0.05,0.867,Positive,Mild,0.3044,0.6225,Trust,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0
M1: Beginning,81,43,Just I think online spaces in general and like discord being one of them. But I'm curious just how people...,0.3716,0.155,0.105,0.74,Positive,Moderate,0.0299,0.5053,Disgust,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0
M1: Beginning,82,58,"Well, I might be a little old school on this, but I do. I like doing a lot of texting...",0.7935,0.128,0.0,0.872,Positive,Strong,0.0475,0.385,Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,83,169,"I guess I would want to ask you guys like, how do you do you feel like you can create...",0.9842,0.211,0.025,0.764,Positive,Strong,0.1611,0.45,Joy,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0
M1: Beginning,84,56,"I think also with like messaging, I kind of it's also like if somebody doesn't put exclamation something like that...",0.9151,0.237,0.031,0.731,Positive,Strong,0.1833,0.3333,Trust,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,85,65,"Well, I have a hard time to create deep relationships both in person and online, so it doesn't change that...",0.5888,0.092,0.037,0.871,Positive,Moderate,-0.053,0.3833,Fear,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25
M1: Beginning,86,32,Can I ask like where I can open it up as well? What has made it easier in the past...,0.7757,0.211,0.0,0.789,Positive,Strong,-0.125,0.375,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,87,74,"I'd say if the person shows more initiative, if it feels like you're not just doing all the heavy lifting...",0.93,0.2,0.0,0.8,Positive,Strong,0.1375,0.4,Trust,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.0
M1: Beginning,88,149,"What I have lived. Saying to the person, hey, I never did that. Okay, I have a hard time to...",0.9734,0.163,0.029,0.808,Positive,Strong,0.0611,0.4889,Trust,0.125,0.25,0.125,0.125,0.125,0.0,0.0,0.25
M1: Beginning,89,93,"So yeah, I think that that's a big thing. I think that, at least in my case, I actually felt...",0.9467,0.176,0.0,0.824,Positive,Strong,0.1365,0.4115,Joy,0.25,0.125,0.125,0.25,0.125,0.0,0.0,0.125
M1: Beginning,90,175,"I don't think that what you guys both said and to add on, I feel like because I've gone through...",0.9782,0.195,0.029,0.776,Positive,Strong,0.055,0.5367,Surprise,0.0,0.125,0.125,0.375,0.125,0.0,0.125,0.125
M1: Beginning,91,55,"Or sometimes I'll throw the ball and be like, okay, I want to hang out with you and like, send...",0.9136,0.278,0.0,0.722,Positive,Strong,0.375,0.375,Anticipation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M1: Beginning,92,104,You know something that I found? I've never been really upfront like you mentioned. I mostly because I'm afraid that...,0.767,0.134,0.06,0.806,Positive,Strong,-0.1167,0.6333,Fear,0.0909,0.2727,0.3636,0.0909,0.0,0.0,0.0909,0.0909
M1: Beginning,93,43,It's that directness versus indirectness. And I think a lot of non-autistic people are really good at being vague and...,0.862,0.218,0.028,0.754,Positive,Strong,0.006,0.4797,Joy,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2
M1: Beginning,94,39,"I think it also is kind of a cultural thing in some cases, right? Because like, I don't know if...",0.3612,0.086,0.0,0.914,Positive,Moderate,0.2643,0.4143,Joy,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
M1: Beginning,95,18,It's a very American thing to do. The sort of dancing around or like Americans will usually respond.,0.3612,0.128,0.0,0.872,Positive,Moderate,-0.125,0.125,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,96,89,"You know who else said that? My dad, he's French Canadian. And he says that this is something that really...",-0.101,0.033,0.069,0.898,Negative,Mild,0.1143,0.1286,Trust,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,97,111,I'm from Boston originally. People are very direct. And I actually had this conversation with many autistic people. I won't...,0.9733,0.219,0.027,0.755,Positive,Strong,0.1117,0.3967,Trust,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2
M1: Beginning,98,167,"I feel like that's where I had to find the balance because of course, I'm not trying to give advice...",0.9907,0.251,0.055,0.694,Positive,Strong,0.1882,0.441,Trust,0.0,0.25,0.125,0.0,0.25,0.0,0.25,0.125
M1: Beginning,99,136,"Yeah, I guess with that we have just a little bit of time, I guess, kind of how we want...",0.9761,0.198,0.0,0.802,Positive,Strong,0.2288,0.4817,Trust,0.2083,0.2917,0.0,0.25,0.0,0.0,0.0,0.25
M1: Beginning,100,25,Yes. If it continues to work for most people. Any thoughts on maybe something inspired you today from the conversation...,0.7096,0.204,0.0,0.796,Positive,Strong,0.5,0.5,Joy,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
M1: Beginning,101,50,"Possibly, yes. Not terms and conditions much, but maybe a little bit oriented towards what you were going for. Like,...",0.8945,0.221,0.0,0.779,Positive,Strong,0.0042,0.5667,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,102,91,"I had a lot of trouble with that. My old job, just because I was working part time. And they...",0.7146,0.088,0.027,0.885,Positive,Strong,0.2875,0.375,Trust,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
M1: Beginning,103,48,Just one. Just in terms of compensation. So there will be an E-gift card. So I'll follow up with each...,0.4939,0.084,0.0,0.916,Positive,Moderate,0.0,0.0,Joy,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
M1: Beginning,104,30,"You can keep this or leave it just depending on what you want to do. And then yeah, any questions...",0.8126,0.296,0.034,0.67,Positive,Strong,0.4,0.8,Surprise,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
M1: Beginning,105,30,"You don't need something in the windows. So if you send your just kind of your parking information, we'll enter...",0.6124,0.182,0.0,0.818,Positive,Strong,0.5333,0.6333,Trust,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,106,33,The sun there. So we'll spread out the room. Give everybody a little bit more space to. And we'll spread...,0.0,0.0,0.0,1.0,Neutral,Neutral,0.1562,0.5,Joy,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
M1: Beginning,107,20,"Yes. Thank you. Yay! Should we help? No. It's okay, I got it. Yeah. Go ahead. Well, I'm taking more.",0.9412,0.578,0.0,0.422,Positive,Strong,0.5,0.5,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M2: Social Groups,1,227,"What was your name? I'm Laura. It's nice to meet you. Are you a doctoral student? Yes. Nice, am I....",0.9987,0.354,0.0,0.646,Positive,Strong,0.334,0.5687,Joy,0.35,0.2,0.05,0.1,0.0,0.05,0.0,0.25
M2: Social Groups,2,198,"So maybe not. But yeah, I think like, it's just, it's fun. We have a lot of students on campus...",0.9971,0.306,0.033,0.662,Positive,Strong,0.2548,0.4738,Joy,0.3158,0.2105,0.0526,0.0,0.0526,0.0526,0.0526,0.2632
M2: Social Groups,3,45,"I feel the same way when I was at a hospital, like being a research coordinator and doing a bunch...",0.7251,0.147,0.025,0.828,Positive,Strong,0.175,0.3535,Trust,0.1538,0.3077,0.1538,0.1538,0.0769,0.0,0.0,0.1538
M2: Social Groups,4,73,"No, I honestly we get we what am I trying to say? This came up recently. Like one study was...",0.9681,0.306,0.037,0.658,Positive,Strong,-0.4333,0.7167,Anticipation,0.1111,0.1111,0.1111,0.0,0.0,0.2222,0.1111,0.3333
M2: Social Groups,5,26,Thank you. Do you want one? It's questions that we might ask. And add any other stuff will come up...,0.4215,0.137,0.0,0.863,Positive,Moderate,0.2375,0.6375,Joy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
M2: Social Groups,6,162,Last week we were kind of looking at overall topics and like kind of came to the conclusion we were...,0.8519,0.079,0.013,0.908,Positive,Strong,0.2296,0.4528,Joy,0.4286,0.4286,0.0,0.0,0.0,0.0,0.0,0.1429
M2: Social Groups,7,77,They might come in a little bit later. That'll be okay. So today I was thinking we would do communication....,0.3291,0.058,0.029,0.913,Positive,Moderate,0.0646,0.5367,Trust,0.2857,0.4286,0.0,0.1429,0.0,0.0,0.0,0.1429
M2: Social Groups,8,44,"I think for one, just like the small talk leading up to actually getting to know someone, I think I...",0.6705,0.222,0.104,0.674,Positive,Strong,-0.0167,0.2333,Trust,0.0,0.3333,0.0,0.0,0.3333,0.0,0.3333,0.0
